id,area,tariff
3011,a1,t2
3029,a1,t1
3042,a1,t2
3041,a1,t1
3053,a1,t2
3073,a1,t2
3070,a2,t3
3046,a1,t2
3017,a1,t2
3072,a2,t3
3031,a2,t3
3076,a2,t3
3067,a1,t1
3013,a2,t3
3034,a2,t3
3001,a2,t3
3050,a2,t3
3002,a2,t3
3008,a1,t1
3023,a1,t2
3055,a1,t1
3000,a1,t2
3018,a2,t3
3005,a2,t3
3058,a1,t1
3035,a1,t1
3068,a2,t3
3039,a2,t3
3007,a1,t2
3020,a1,t1
3024,a1,t2
3006,a2,t3
3078,a2,t3
3071,a2,t3
3043,a1,t1
3037,a1,t1
3025,a1,t1
3004,a2,t3
3074,a1,t1
3009,a2,t3
3010,a2,t3
3028,a1,t2
3019,a2,t3
3062,a1,t1
3003,a1,t2
3014,a2,t3
3049,a1,t2
3040,a2,t3
3066,a2,t3
3027,a2,t3
3056,a2,t3
3044,a1,t1
3015,a2,t3
3063,a1,t1
3051,a1,t1
3059,a2,t3
3026,a2,t3
3016,a1,t2
3048,a1,t2
3069,a1,t1
